,college,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCE,PCS,PR,Rank
4,Amity University,16.82,14.68,10.8,5.51,0,15.27,20.58,10,1.32,60,11.25,15.94,28.6,0.11,20,16.65,57
94,University of Kashmir,15.68,22.91,18.09,8.96,5,10.72,14.1,0.5,1.62,60,19.58,0,30,3.05,20,2.77,58
89,Symbiosis International,15.48,23.53,16.75,11.87,0,7.26,11,2.5,2.15,60,17.78,15.01,28.11,0.05,20,15.54,59
29,Indian Institute of Science Education & Research Kolkata,7.66,25,18.12,13.89,3.5,19.52,19.64,1,0.85,60,10.16,15.61,18.36,1.61,20,13.81,60
19,Delhi Technological University,16.5,25,11.07,6.62,0,15.9,18.53,0,1.34,60,6.39,15.53,20.61,3.03,20,28.52,61
65,Malaviya National Institute of Technology,14.09,18.1,14.51,7.73,0,18.81,20.11,2.5,1.36,60,10.67,13.99,19.61,7.33,20,9.8,62
17,Cochin University of Science and Technology,11.99,23.09,17.37,9.95,0,17.68,15.26,0.5,0.93,60,13.79,1.03,30,0.7,20,13.81,63
76,Osmania University,16,16.35,11.8,12.6,2,10.03,11.65,3,6.57,60,21.26,2.63,29.67,5.6,20,9.15,64
95,University of Madras,10.68,25,18.92,8.14,2,16,16.02,0,0.88,52.42,16.98,3.23,30,0,20,14.39,65
26,"Indian Institute of Engineering Science and Technology, Shibpur",12.07,17.61,13.64,8.75,1.5,18.78,17.64,1.5,0.92,56.09,14.35,12.4,16.73,9.57,20,21.07,66
42,Indian Institute of Technology Jodhpur,10.13,21.8,17.06,14.59,2.5,14.45,15.02,0.5,1.58,60,4.6,20.55,20.69,5.42,20,9.15,66
47,Indian Institute of Technology Patna,9.95,14.01,11.16,11.54,6,20.56,19.25,2,1.05,59.98,10.67,19.89,10.15,7.02,20,12.92,66
8,Babasheb Bhimrao Ambedkar University,12,22.67,18.25,6.92,0,9.77,13.09,1,0.44,60,22.07,17.94,30,8.89,20,2,69
