college,Faculty Student Ratio,Faculty Quality,Region Diversity,Woman diversity,Peer reputation,Rank,Score,State,City
National Institute of Technology Durgapur,16.81,13.35,15.19,12.77,10.45,90,46.81,West Bengal,Durgapur
Indian Institute of Technology Bhubaneswar,15.4,12.73,22.03,9.74,19.31,91,46.73,Odisha,Bhubaneswar
Visvesvaraya Technological University,24.44,14.42,0.39,29.61,3.53,92,46.48,Karnataka,Belgaum
Tamil Nadu Agricultural University,25,18.15,2.15,30,10.45,93,46.33,Tamil Nadu,Coimbatore
Madurai Kamaraj University,25,18.65,2.79,29.01,10.45,94,46.26,Tamil Nadu,Madurai
Shiv Nadar University,25,18.93,17.65,25.79,9.48,95,46.18,Uttar Pradesh,Gautam Buddha Nagar
Mumbai University,16.49,10.88,2.8,29.43,7.82,96,45.86,Maharashtra,Mumbai
Banasthali Vidyapith,16.53,11.69,24.68,30,8.15,97,45.85,Rajasthan,Banasthali
Sri Ramachandra Institute of Higher Education and Research,25,17.89,9.73,30,7.82,98,45.84,Tamil Nadu,Chennai
Indian Institute of Management Calcutta,20.85,16.27,24.42,21.79,38.4,99,45.74,West Bengal,Kolkata
Christ University,18.52,12.74,19.24,28.7,39.05,100,45.65,Karnataka,Bengaluru
